DOI,Title,Solvent_Name,Solvent_Type,Battery_Chemistry_Std,SMILES,Concentration_M,Temperature_C,Time_hrs,SLR_gL,Has_Reductant,Reductant_Std,Target_Metal,RDKIT_MW,RDKIT_LogP,RDKIT_TPSA,RDKIT_HBD,RDKIT_HBA,RDKIT_RotBonds,RDKIT_RingCount,RDKIT_AromaticRings,RDKIT_HeavyAtoms,RDKIT_Has_Carboxyl,RDKIT_Has_Hydroxyl,RDKIT_Has_Halogen,RDKIT_Has_Phosphorus,RDKIT_Is_Ionic,RDKIT_Morgan_FP_Density,Efficiency_pct
https://doi.org/10.1016/j.chemosphere.2020.126670,,Lemon Juice,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.777559975,40,0.75,9.8,1,H2O2,Co,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,96
https://doi.org/10.1016/j.chemosphere.2020.126670,,Lemon Juice,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.777559975,40,0.75,9.8,1,H2O2,Ni,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,96
10.1016/j.jhazmat.2020.123068,,Methane sulfonic acid (MSA),Organic Acid,LFP,CS(=O)(=O)O,2,25,1.5,40,1,H2O2,Li,96.11,-0.496,54.37,1,2,0,0,0,5,0,1,0,0,0,0.0078,95
10.1016/j.jhazmat.2020.123068,,Methane sulfonic acid (MSA),Organic Acid,LFP,CS(=O)(=O)O,2,25,1.5,40,1,H2O2,Fe,96.11,-0.496,54.37,1,2,0,0,0,5,0,1,0,0,0,0.0078,95
10.37190/ppmp/122784,,Aliquat 336,Organic Solvent,Unknown,CCCCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.3,22,0.5,39.8901969,0,,Cu,432.22,6.299,0,0,0,23,0,0,29,0,0,1,0,1,0.0156,71.6
10.37190/ppmp/122784,,Aliquat 336,Organic Solvent,Unknown,CCCCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.3,22,0.5,39.8901969,0,,Co,432.22,6.299,0,0,0,23,0,0,29,0,0,1,0,1,0.0156,98.8
https://doi.org/10.1016/j.susmat.2020.e00201,,Citric Acid,Organic Acid,Other,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1,80,0.5,40,1,Graphite,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,94
https://doi.org/10.1016/j.susmat.2020.e00201,,Citric Acid,Organic Acid,Other,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1,80,0.5,40,1,Graphite,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,90
https://doi.org/10.1016/j.susmat.2020.e00201,,Citric Acid,Organic Acid,Other,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1,80,0.5,40,1,Graphite,Mn,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,98
https://doi.org/10.1016/j.susmat.2020.e00201,,Citric Acid,Organic Acid,Other,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1,80,0.5,40,1,Graphite,Ni,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,98
https://doi.org/10.1016/j.wasman.2020.05.046,,Lemon Juice,Organic Acid,LFP,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.849763664,25,1.5,67,1,H2O2,Li,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,94.83
https://doi.org/10.1016/j.wasman.2020.05.046,,Lemon Juice,Organic Acid,LFP,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.849763664,25,1.5,67,1,H2O2,Cu,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,96.92
https://doi.org/10.1016/j.wasman.2020.05.046,,Lemon Juice,Organic Acid,LFP,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0.849763664,25,1.5,67,1,H2O2,Al,368.25,-2.656,239.35,8,10,7,1,0,25,1,1,0,0,0,0.0361,47.24
10.1021/acssuschemeng.1c07109,,Alamine 336,Organic Acid,NMC,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,0.4,80,1,20,0,,Co,522,13.051,3.24,0,1,33,0,0,37,0,0,0,0,0,0.0137,99.9
10.1021/acssuschemeng.1c07109,,Alamine 336,Organic Acid,NMC,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,0.4,80,1,20,0,,Mn,522,13.051,3.24,0,1,33,0,0,37,0,0,0,0,0,0.0137,99.9
10.1021/acssuschemeng.1c07109,,Alamine 336,Organic Acid,NMC,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,0.4,80,1,20,0,,Ni,522,13.051,3.24,0,1,33,0,0,37,0,0,0,0,0,0.0137,97
https://doi.org/10.1186/s40538-021-00236-5,,CNSL-based oxime,Organic Solvent,NMC,OC(=NOc1ccc(CCCCCCCCCCCCCC)cc1)c1ccccc1,1.175975873,25,24,30.5714415,0,,Overall,409.61,8.229,41.82,1,2,16,2,2,30,0,1,0,0,0,0.0332,95
https://doi.org/10.1016/j.hydromet.2021.105718,,Benzoyltrifluoroacetone (HBTA),Organic Solvent,Unknown,O=C(CC(=O)c1ccccc1)C(F)(F)F,0.2,25,0.033,32.95481427,0,,Co,216.16,2.391,34.14,0,2,3,1,1,15,0,0,1,0,0,0.0234,88
https://doi.org/10.1016/j.hydromet.2021.105718,,Benzoyltrifluoroacetone (HBTA),Organic Solvent,Unknown,O=C(CC(=O)c1ccccc1)C(F)(F)F,0.2,25,0.033,32.95481427,0,,Ni,216.16,2.391,34.14,0,2,3,1,1,15,0,0,1,0,0,0.0234,25
https://doi.org/10.1016/j.hydromet.2021.105718,,Benzoyltrifluoroacetone (HBTA),Organic Solvent,Unknown,O=C(CC(=O)c1ccccc1)C(F)(F)F,0.2,25,0.033,32.95481427,0,,Li,216.16,2.391,34.14,0,2,3,1,1,15,0,0,1,0,0,0.0234,25
10.1016/j.jece.2021.105232,,Oxalic Acid,Organic Acid,Other,C(=O)(C(=O)O)O,0.25,80,1.5,100,1,H2O2,Li,90.03,-0.844,74.6,2,2,0,0,0,6,1,1,0,0,0,0.0059,99
10.1016/j.jece.2021.105232,,Oxalic Acid,Organic Acid,Other,C(=O)(C(=O)O)O,0.25,80,1.5,100,1,H2O2,Cu,90.03,-0.844,74.6,2,2,0,0,0,6,1,1,0,0,0,0.0059,99
10.1016/j.mineng.2021.107204,,Citric Acid,Organic Acid,Unknown,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,95,0.33,20,1,H2O2,Al,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,93
10.1016/j.mineng.2021.107204,,Citric Acid,Organic Acid,Unknown,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,95,0.33,20,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,90
10.1016/j.mineng.2021.107204,,Citric Acid,Organic Acid,Unknown,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,95,0.33,20,1,H2O2,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,96
10.1016/j.mineng.2021.107204,,Citric Acid,Organic Acid,Unknown,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,95,0.33,20,1,H2O2,Mn,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,94
10.1016/j.mineng.2021.107204,,Citric Acid,Organic Acid,Unknown,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,95,0.33,20,1,H2O2,Ni,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,94
10.1080/08827508.2021.2017925,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0.784185993,60,5,26.29869331,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,96
10.1021/acs.energyfuels.2c01591,,Oxalic Acid,Organic Acid,NMC,C(=O)(C(=O)O)O,1,180,12,10,0,,Overall,90.03,-0.844,74.6,2,2,0,0,0,6,1,1,0,0,0,0.0059,97.3
10.1021/acssuschemeng.2c02553,,Alginic Acid,Organic Acid,LCO,OC1OC(C(=O)O)C(O)C(O)C1O,1.112486994,80.33772915,4,22.46047672,1,H2O2,Li,194.14,-3.129,127.45,5,6,1,1,0,13,1,1,0,0,0,0.0186,97.58
10.1021/acssuschemeng.2c02553,,Alginic Acid,Organic Acid,LCO,OC1OC(C(=O)O)C(O)C(O)C1O,1.112486994,80.33772915,4,22.46047672,1,H2O2,Co,194.14,-3.129,127.45,5,6,1,1,0,13,1,1,0,0,0,0.0186,98.59
10.1021/acs.iecr.2c00295,,Tetrabutylammonium bisulfate ([N4444]HSO4),Ionic Liquid,Unknown,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)O,1.308674096,25,4.119213559,33.78141376,0,,Co,340.55,4.351,74.6,2,2,12,0,0,22,0,1,0,0,1,0.0176,98.4
10.1021/acs.iecr.2c00295,,Tetrabutylammonium bisulfate ([N4444]HSO4),Ionic Liquid,Unknown,CCCC[N+](CCCC)(CCCC)CCCC.OS(=O)(=O)O,1.308674096,25,4.119213559,33.78141376,0,,Ni,340.55,4.351,74.6,2,2,12,0,0,22,0,1,0,0,1,0.0176,98.7
10.1021/acs.iecr.2c03293,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.25,90,5,30,1,H2O2,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,99.8
10.1021/acs.iecr.2c03293,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.25,90,5,30,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,96.46
10.1016/j.jece.2022.108250,,Acetic Acid,Organic Acid,Other,CC(=O)O,2,70,0.67,20,1,H2O2,Li,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,98.56
10.1016/j.jece.2022.108250,,Acetic Acid,Organic Acid,Other,CC(=O)O,2,70,0.67,20,1,H2O2,Co,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,94.61
10.1016/j.jece.2022.108250,,Acetic Acid,Organic Acid,Other,CC(=O)O,2,70,0.67,20,1,H2O2,Ni,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,96.39
10.1016/j.jece.2022.108250,,Acetic Acid,Organic Acid,Other,CC(=O)O,2,70,0.67,20,1,H2O2,Mn,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,97.97
10.1016/j.jece.2022.108250,,Acetic Acid,Organic Acid,Other,CC(=O)O,2,70,0.67,20,1,H2O2,Al,60.05,0.091,37.3,1,1,0,0,0,4,1,1,0,0,0,0.0068,94.7
10.1016/j.jhazmat.2021.127481,,Citric Acid,Organic Acid,NMC,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2,150,0.5,50,1,Glucose,Ni,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,90.7
10.1016/j.jhazmat.2021.127481,,Citric Acid,Organic Acid,NMC,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2,150,0.5,50,1,Glucose,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,98.3
10.1016/j.jhazmat.2021.127481,,Citric Acid,Organic Acid,NMC,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2,150,0.5,50,1,Glucose,Mn,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,94.9
10.1016/j.jhazmat.2021.127481,,Citric Acid,Organic Acid,NMC,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2,150,0.5,50,1,Glucose,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,95.6
10.1016/j.jhazmat.2021.127910,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,80,2,20,1,H2O2,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,100
10.1016/j.jhazmat.2021.127910,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.5,80,2,20,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,96.4
